,glucose,cgm_quality_flag,insulin_bolus,insulin_basal,carbs,meal_type,exercise_steps,exercise_intensity,heart_rate,skin_temp,gsr,sleep_stage,medication_other,stress_level,alcohol,device_id,hbA1c,age,sex,weight,carb_ratio,insulin_sensitivity,timezone,region,glucose_lag_1,glucose_lag_3,glucose_lag_6,glucose_roll_mean_1h,glucose_roc_per_min
falling,0.049859187073025724,0.003407734891376588,-0.035570749600114165,-0.0014191549795895906,0.023011594099052304,-0.0887200530447277,0.024807860362457763,0.15340814781603201,-0.012461090796226995,-0.06721681593494366,0.04223369475922541,0.02144539007067463,0.01692518475202738,-0.06103388808067348,0.02978128413265022,0.0416620434955822,0.06260402296755749,-0.04271831382427877,-0.11855085984936203,0.03414658272238112,-0.03548724374724614,-0.06623245740239532,0.1850126419367889,0.2612523653796316,-0.30680490319870896,-0.02666104951191479,-0.1914134271027256,0.42150379191180615,-14.23937554545775
falling rapidly,0.07472338721126658,-0.04929902806289113,-0.13827818430359093,0.06084200184137506,0.13494568643030436,0.09498868417931629,-0.029319989978020215,-0.09312818156170757,-0.024832700567892184,-0.050743410192028715,0.06995897661358191,0.02117669151805572,0.006596085581463777,-0.06074048655856881,-0.005719246745487942,-0.08313892597671424,-0.0651189654176791,0.04411664025895456,-0.13401714549424773,-0.20072733052617345,0.12165541125297379,-0.0009003232626773293,-0.034805260151148806,-0.0035204362912614746,0.19636319839936242,-0.18441743249347192,-0.20778513103208252,0.022461135505050276,-29.145950576838178
rising,1.0551495896371574,-0.009189787016500658,0.07819534834980431,-0.011394683339415367,-0.06652658657457419,0.013969823997197806,0.05237980711556904,0.32196448783183035,0.030345507599873305,0.04637749835355725,0.007675983804519961,-0.027001310115811934,-0.029114286139678817,0.023053990738205535,-0.02137255111700739,0.007699807239351169,-0.019285026417925098,-0.05497542372279881,0.009968481074643366,-0.06343902837335381,0.03466740658281412,-0.06990538469565515,0.01962965958534896,0.07785741477769169,-0.7522961058576889,0.07064197101757372,-0.2757218303427463,-0.11925016243201253,14.891987982327384
rising rapidly,0.011183937952106808,0.04586607695518055,0.036280514197590694,-0.054643967678431715,-0.04763115702167574,0.039216263315728535,-0.0005045959976241721,-0.24893813850318752,0.032265773067269035,0.07827297614466487,-0.11302330298067692,-0.0259260551542903,-0.011177856230653128,0.12287588641350207,-0.0008681355626869131,0.016279571528937543,0.08391728628669305,0.018709379542961205,0.2877130907508847,0.2605033924067882,-0.16023872749302087,0.04616103100941407,-0.07327197359069886,-0.39488543572591456,0.1433766372941056,-0.10562364229249678,0.3883137861624866,-0.15161682873762383,27.96906947125688
stable,-1.1909161018737044,0.009215003232838227,0.05937307135630349,0.006615804156075587,-0.043799536933115474,-0.0594547184475117,-0.047363081502393004,-0.13330631558302006,-0.025317489303022793,-0.006690248371250164,-0.006845352196655549,0.010305283681374216,0.01677087203685131,-0.024155502512439257,-0.0018213507074747407,0.017497503712842373,-0.06211731741864851,0.034867717745159794,-0.04511356648188121,-0.030483616229648437,0.03940315340448047,0.09087713435131295,-0.09656506778028455,0.05929609185982903,0.7193611733629158,0.24606015328034656,0.2866066023150586,-0.17309793624721312,0.5242686687121706
